business_id|name|categories|city|review_count|stars
WyNlF7TMW7lNIta0jpWabw|The Spoke Easy|Local Services, Bike Repair/Maintenance|Charlotte|6|4.5
L0aSDVHNXCl6sY4cfZQ-5Q|Mai Thai II|Restaurants, Thai|Concord|108|4.0
QaXU3XeFaWwJ1_E1A3_3uw|Slate Interiors|Art Galleries, Used, Vintage & Consignment, Shopping, Furniture Stores, Home & Garden, Home Decor, Arts & Entertainment, Fashion|Charlotte|8|3.0
rHKC8TjQP_u6k3uwEkdCsQ|Forrest & Forrest Family Dentistry|Dentists, General Dentistry, Endodontists, Cosmetic Dentists, Health & Medical|Matthews|8|4.0
U3kygJOTlTQFlfaZS7sQjA|JJ's Red Hots - Dilworth|Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services|Charlotte|380|4.0
BKtkkcAf_sa6Kk99VIDnog|Dulce Alterations|Sewing & Alterations, Local Services, Fashion, Bridal, Clothing Rental, Formal Wear, Shopping|Gastonia|9|2.5
sAX1q1kLvOnXKURq_MP_Wg|Park Road Books|Bookstores, Books, Mags, Music & Video, Shopping, Newspapers & Magazines|Charlotte|33|4.0
T_tnCsUQmqTMEI3XxJAyOA|Howlers Craft Burgers & Beer|Restaurants, Beer Gardens, Nightlife, Burgers|Gastonia|30|3.5
CPgz4srKkE5u9aoBAOaQsA|Davidson Pizza Company|Chicken Wings, Pizza, Salad, Restaurants|Davidson|23|3.5
w7N_q76R_DydNqK1zvHmBw|Venue|Home Services, Apartments, Real Estate|Charlotte|9|4.0
CsLQLiRoafpJPJSkNX2h5Q|Middle East Deli|Food, Grocery, Restaurants, Middle Eastern|Charlotte|5|3.0
X9s0hWVFKB7zCxc5jMgYag|Southeast Pain and Spine Care - Morehead|Chiropractors, Doctors, Pain Management, Health & Medical|Charlotte|7|1.0
9FPEg18SyYsKgbWZ0XDysQ|Carolina Cones|Food, Ice Cream & Frozen Yogurt|Cornelius|36|4.5
ET2dIIR1qMThKyBEOL5BkA|Four Mile Creek Greenway - Matthews|Hiking, Active Life|Matthews|12|5.0
NAb3h3qC-12q5sjOzvIDHg|Starbucks|Coffee & Tea, Food|Gastonia|13|2.5
j227Ila_C6ZjAEoAxKU_CQ|Andersen Heating & Cooling|Home Services, Heating & Air Conditioning/HVAC|Charlotte|7|2.5
VL0JMErbrfZcTPdQlxx-Xg|Benefit Brow Bar at Ulta|Cosmetics & Beauty Supply, Shopping, Beauty & Spas, Skin Care, Makeup Artists, Hair Removal|Gastonia|4|2.0
WHcaRhDuMY9j6N6cxDmGWg|Family Allergy Asthma & Sinus Care|Health & Medical, Allergists, Doctors|Charlotte|4|4.0
Ye6Bdtw2lq5Y6FeX-p377Q|Veltree|Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies|Charlotte|7|4.5
_WyTVGIhZIqesE4DLrcTvA|Ron's Restaurant|Burgers, Restaurants, American (Traditional)|Monroe|11|4.0
bt00hbBi-DN6ksKiQngV4g|Healthy Home Market|Grocery, Health Markets, Specialty Food, Health & Medical, Herbs & Spices, Organic Stores, Food|Charlotte|20|4.0
UZCfJ29B4MRIS3igABE_Ew|Gandhi International Market|Grocery, Specialty Food, Ethnic Food, Food, Imported Food|Charlotte|11|2.0
nwxF9EKLOCpkScMF2utHDw|Ben & Jerry's|Ice Cream & Frozen Yogurt, Food, Event Planning & Services, Desserts, Caterers|Charlotte|19|3.5
xHZmM-kGXqOfmQNTm0T05g|Circles Grill and Market|Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food|Charlotte|27|4.0
GiTv0gFXtYFQAzCXnPvepQ|Chili's|Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife|Charlotte|48|2.5
HqerocZHKSRFD8NTrIkbaw|Taxco Mexican Grill|Restaurants, Mexican|Mint Hill|52|3.0
FOrvwGaFRpIjAMaI7FsB4A|Lacquer & Wax Beautique|Hair Removal, Nail Salons, Beauty & Spas, Eyelash Service, Makeup Artists, Waxing|Charlotte|18|3.0
QcUKFdAWxFq42-zE96cS-A|Pita Pit|Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches|Indian Trail|34|4.0
ZBE-H_aUlicix_9vUGQPIQ|Hickory Tavern|Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife|Charlotte|100|3.0
J_NOV65X1XK2vwuUE3vSzg|Sam's Shoe Fixery|Shoe Repair, Local Services|Matthews|7|4.5
yuhnMOLGmXHhQxyp1V_rBw|Genghis Grill|Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants|Matthews|84|3.5
PsQHNq7n083djMrubbCYUQ|CVS Pharmacy|Pharmacy, Health & Medical, Drugstores, Shopping|Davidson|3|4.0
GaiCQuVwiujXOsTWoFxb5g|Bank of America|Home Services, Mortgage Brokers, Financial Services, Real Estate, Banks & Credit Unions|Charlotte|4|2.5
4buRElPC3-ka-s2q55VVFw|Carolina Beer Company|Local Flavor, Beer, Wine & Spirits, Food|Charlotte|77|2.0
zRV7bzP_CfTg-_R9U-VsVg|Visulite Theatre|Music Venues, Nightlife, Arts & Entertainment, Cinema|Charlotte|57|4.0
RGK23CEkDfYHWtUbRhA-bQ|The Turnhouse Grille|Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife|Charlotte|102|4.5
tc_iSFczfkfIF2H7uqs_eQ|Nouveaux Couture Consignment|Fashion, Accessories, Shopping, Used, Vintage & Consignment|Charlotte|7|4.5
MDJqm5KN1hFWm4R2VtNIlw|Waffle House|Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers|Pineville|33|3.5
Um2H2xUT0eamjN6ivIUAiA|Ben & Jerry's|Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services|Davidson|10|4.5
bX4gfj2Kj22Lwm-nSsnnfg|Ferrucci's Old Tyme Italian Market|Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food|Cornelius|59|4.5
zUHIDqm_UKdnSygmWKtyRg|Food Lion|Delis, Restaurants|Charlotte|5|3.0
8Ig8z08VcW53oMk3R13btA|Tastebuds Popcorn|Specialty Food, Food, Popcorn Shops|Charlotte|6|3.5
zaxxzoMkIOdKlQC9yeDz-g|8 - The Salon|Hair Salons, Beauty & Spas|Charlotte|35|3.5
W58yQ1el2YBYpO8EjOI1Kw|Andy Lewis Heating and Air Conditioning|Home Services, Local Services, Appliances & Repair, Heating & Air Conditioning/HVAC|Charlotte|11|3.0
CGUK3cd2gxp2q3KPY19Oog|Roots Cafe|Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food|Charlotte|104|4.0
4l33jgw8yqaedY06wR3dXA|Woodie's Auto Service|Auto Repair, Automotive|Huntersville|6|3.5
k-4gwXT0l0gtS7zYb0ok9A|Fink's Jewelers|Local Services, Bridal, Watches, Jewelry Repair, Jewelry, Shopping|Huntersville|4|4.0
2E57EmAD7qdfS1NL8_EfMQ|Buscemis Pizza|Restaurants, Italian, Pizza|Cornelius|4|4.0
_sqtz2Lk7LKVQ-RwHqoujQ|Fitness Connection|Pilates, Active Life, Yoga, Fitness & Instruction, Sports Clubs, Gyms|Charlotte|37|3.0
7RoaNSRDpjaDVWfpDnbPng|University City Branch YMCA|Sports Clubs, Local Services, Community Service/Non-Profit, Child Care & Day Care, Active Life, Gyms, Fitness & Instruction|Charlotte|18|3.0
n3a4ytrLWiSkLMrhp8P0Uw|Fitness Together|Active Life, Gyms, Trainers, Fitness & Instruction|Charlotte|3|5.0
uwpPniaFEVkK5T_PWdQZ0A|Le Peep|Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food|Charlotte|134|3.5
yd6pLLCKrrQvV_sV37YLrQ|Hickory Grove Animal Hospital|Pet Services, Pet Groomers, Pet Sitting, Pets, Veterinarians, Pet Boarding|Charlotte|7|4.5
inMRWxx835CHwtVnxJPlLg|CLT Quality Air Duct Cleaning|Heating & Air Conditioning/HVAC, Professional Services, Carpet Cleaning, Home Services, Home Cleaning, Air Duct Cleaning, Local Services|Charlotte|6|5.0
53HY4Wcj4p277C_UXdKqHg|Batteries Plus Bulbs|Automotive, Mobile Phone Repair, Local Services, Shopping, Battery Stores, Lighting Fixtures & Equipment, IT Services & Computer Repair, Electronics Repair, Photography Stores & Services, Hardware Stores, Home Services, Motorcycle Dealers, Home & Garden, Electronics|Matthews|17|3.5
aUh_NqYX0lvK6erjKfJn_A|Gina Davis, DDS Artistic Family Dentistry|Dentists, General Dentistry, Endodontists, Cosmetic Dentists, Health & Medical|Charlotte|6|4.5
1us5qNogRwpeI1NkztKa1Q|Charlotte Sports Center|Active Life, Amateur Sports Teams|Charlotte|3|3.5
ljtJ8In8nEoLkotLwxguPg|Naturaltress Salon|Beauty & Spas, Hair Salons, Barbers|Charlotte|12|3.0
0Vf9cMIIdH8uNLOtW-Dtjg|Fuze Salon|Beauty & Spas, Skin Care, Hair Removal, Hair Salons|Charlotte|7|4.5
KykaDerdKSmeiyX4L-82uA|IM=X Pilates and Fitness|Active Life, Trainers, Physical Therapy, Pilates, Health & Medical, Fitness & Instruction, Cardio Classes|Charlotte|3|5.0
TreYsBGjXptogQQmQh1-bg|Showmars - Seventh Street|Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean|Charlotte|37|3.0
7IoodTC2xwmBWvoFCP5urg|Best You Face and Body|Waxing, Permanent Makeup, Day Spas, Skin Care, Beauty & Spas, Hair Removal|Charlotte|3|4.5
sFGuQfzox4oOp0JhfgX1zg|Quality Alterations|Sewing & Alterations, Local Services|Huntersville|16|2.5
QEgfK_TKY8bwK-YzKDdkGw|Lumiere French Kitchen|French, Restaurants|Charlotte|140|4.5
6unlYN_fetLS9zjsmj73Pw|Verizon|Internet Service Providers, Home Services, Shopping, Electronics, Professional Services, Mobile Phones|Denver|3|1.5
3aJEg4C6980DTPQrBHh6qQ|Just Fresh|Restaurants, Delis|Charlotte|11|4.5
WGSyaXu3tsKAsfXp6EJNlA|Five Below|Discount Store, Shopping|Matthews|3|3.0
4BEl7jCbias-xEr-LrA1qw|Starbucks|Food, Coffee & Tea|Charlotte|38|3.0
6tpH6roCryLArAvWVKFLyQ|Yelp Elite Event: Fall Mingle at Eddie V's|Yelp Events, Local Flavor|Charlotte|40|5.0
h1JiQERQeiV8kxv5KRjWYA|Fresh Attractions|Restaurants, Sandwiches|Charlotte|35|2.5
v_6HzkKuraBkTa1roLUL8Q|Honeycuts Haircare For Men|Hair Salons, Beauty & Spas, Men's Hair Salons|Charlotte|15|3.5
vlLHfWn-Gyyfnh5Lp_kJsg|Burger King|Restaurants, Burgers|Charlotte|6|3.0
OBK6q5GOAFWzkeQUJkt95g|Spa51|Day Spas, Beauty & Spas|Matthews|4|3.0
cZssy9y2nEkMScQlAAxjug|Camden Stonecrest|Apartments, Home Services, Real Estate|Charlotte|12|4.5
KPy0pz5I4lgV-Fuw5WRHKw|Riplash At Buffsalon|Eyelash Service, Beauty & Spas, Hair Removal, Nail Salons, Waxing, Day Spas|Charlotte|5|5.0
U8ubLSxnCKRAJRmN1XWZaA|Oak Steakhouse Charlotte|Steakhouses, Restaurants|Charlotte|102|4.0
CAy7twD5McMiNrkFWOUn7g|Artisen|Food, Juice Bars & Smoothies, Gelato, Desserts|Matthews|81|4.5
uCgHhVx88-23VCZTdh8hxg|Showmars - University|Mediterranean, Greek, Restaurants, Sandwiches, Burgers|Charlotte|56|3.5
QvIPMB6R5BDhCKRwtwRO3Q|Snap Fitness - Waxhaw|Active Life, Fitness & Instruction, Trainers, Gyms|Waxhaw|3|2.5
stCP0pdz5_3i7AAzmt5dSw|Wendys|Restaurants, Fast Food, Burgers|Charlotte|18|2.0
gr2gSmcKBp7ZMr-laYMUhA|PetSmart|Pets, Pet Training, Pet Groomers, Pet Sitting, Pet Services, Pet Stores|Charlotte|43|2.5
5Novl6V4g5TV4ATFPElsYQ|Firehouse Subs|Restaurants, Fast Food, Burgers, Delis, Sandwiches|Gastonia|24|3.0
8QZA5AnGjo8gGu0HzWCSmA|Avenue Uptown Condominium|Real Estate, Apartments, Home Services|Charlotte|9|4.0
zi2CV7isWyGRxVXJxdDQXg|Ceva Freight|""|Charlotte|3|1.5
ty8srVx07LSpDA9fh8jeeg|Max's Alley|Restaurants, American (Traditional)|Concord|4|3.5
0zcMK5IWe1EfYY6qynEkSg|Mt Holly Farm Supply|Nurseries & Gardening, Home & Garden, Shopping|Mount Holly|3|3.0
WJw_ty6Oj-FTdqzjKcZyEQ|Rite Aid|Drugstores, Shopping, Food, Convenience Stores|Charlotte|4|4.0
aX3X4zujLzLefOAunl9krQ|Salon On Selwyn|Hair Salons, Beauty & Spas|Charlotte|4|5.0
bJ44rSxMNTAAF_WGI_jDEw|AQUA e VINO|Italian, Restaurants|Charlotte|48|4.5
af1NWCYL56dhq8JgWSyNQA|Royal Limousine|Hotels & Travel, Transportation, Limos|Charlotte|4|2.5
8JLh0WHvGcfhbliRIrbBew|Carolina Asthma & Allergy Center|Doctors, Health & Medical, Allergists, Pulmonologist|Charlotte|9|4.0
K49O6DtxT2hyjcJcpgNr-A|Same Day Appliance Service|Local Services, Appliances & Repair|Charlotte|6|1.0
E6iDtZGn7lYk2G2pueFhmg|Gumbo: The Store|Active Life, Fashion, Sports Wear, Shopping, Yoga, Nutritionists, Health & Medical, Sporting Goods, Women's Clothing, Shoe Stores, Accessories, Fitness & Instruction, Men's Clothing|Charlotte|5|4.0
YzMUZjUMcgI-NSGu48-nIQ|Dolce Ristorante|Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian|Charlotte|166|3.5
zMBe-8wcodS61pVL2VdQ6g|Merry Murphy Pet Sitters|Dog Walkers, Pet Sitting, Pets, Pet Services|Charlotte|3|5.0
C6eijBK1l2FOV_8MGnmsCA|Habitat Charlotte ReStore - Wendover|Thrift Stores, Home & Garden, Shopping, Hardware Stores, Furniture Stores|Charlotte|26|2.5
L6LbxymSr3RRG8W-tK8vUA|Borders Books Music & Cafe|Music & DVDs, Books, Mags, Music & Video, Videos & Video Game Rental, Bookstores, Shopping|Charlotte|5|3.0
pwnH8YOzWS_vnlcUEiLZiA|Park Road Lock and Key Shop|Home Services, Keys & Locksmiths|Charlotte|10|4.5
P7KCYt29-DaYpHxQogNzVw|Autobell Car Wash|Car Wash, Automotive|Concord|10|2.0
Pq2kDojfCW8B6s1ABna6ug|505e|Restaurants, Sushi Bars, American (New)|Charlotte|8|3.5
4k9Xo2jDgotOYITop5TqTA|Carnitas Guanajuato|Mexican, Restaurants|Monroe|10|4.0
QoyG3Q1dNym-qvbYPD8GJA|Verizon|Professional Services, Internet Service Providers, Home Services, Shopping, Electronics, Mobile Phones|Charlotte|11|2.0
qjPC-pjICixwWsambEosqQ|Brick & Barrel|Bars, Nightlife|Charlotte|3|2.5
4bdSE3QyRb06sMthiYhhnQ|Assorted Table Wine Shoppe|Food, Arts & Entertainment, Beer, Wine & Spirits, Wineries|Charlotte|27|4.5
3vxNIpEg5SmmInek0b7ulQ|The Frozen Isle|Ice Cream & Frozen Yogurt, Food|Charlotte|11|4.5
Y6zL4Eqf6lVzrQqvJphITw|McAlpine Team at RE/MAX Executive|Real Estate Services, Home Services, Real Estate|Cornelius|3|5.0
KnzUN6CSrojtyUjf8F1jog|Morningstar Marinas - Kings Point|Automotive, Boating, Professional Services, Event Planning & Services, Boat Charters, Active Life, Marinas, Boat Repair|Cornelius|13|4.5
uM3lfBpDMrFSyICS-g0utg|Conn's HomePlus|Appliances, Home & Garden, Mattresses, Furniture Stores, Shopping|Gastonia|5|1.0
NRFKiCg_6WJtuGpfb9dxVw|Savory Spice Shop|Herbs & Spices, Food, Specialty Food|Charlotte|90|4.5
OhrSAnP1H8Q9Mp54HpEbBA|Nails X|Nail Salons, Beauty & Spas|Charlotte|15|4.0
14md4k-gaPkEApOvjtVgmw|A-1 Wildlife Control|Local Services, Pest Control, Wildlife Control|Charlotte|5|3.5
sxOoqlIxmlKmC1yGvPx3Fw|KFC|Restaurants, Chicken Shop, Chicken Wings, Fast Food|Kannapolis|3|2.0
dlzwh1rNfymW46_Y1ce8wg|Ramsey Creek Park|Parks, Dog Parks, Active Life, Beaches|Cornelius|22|4.0
bdxdcvC63LimiFGnh1-JUw|Soho Cafe Chinese Cuisine & Bar|Restaurants, Chinese|Harrisburg|3|3.5
eqK3MgNAioUBQFIpQut_dg|Mattress Firm Gastonia|Shopping, Home Decor, Furniture Stores, Home & Garden, Mattresses|Gastonia|3|4.5
A0FLFsqkGK59l2WPhi93mg|The Belmont Drive-In Theater|Arts & Entertainment, Cinema|Belmont|8|4.0
VLh2PFNIokT-9sqtVPQQ9A|Bruster's Real Ice Cream|Ice Cream & Frozen Yogurt, Food|Indian Trail|14|4.0
NWYEgpRzMiAFrGvs_6aQAQ|Bank of America|Mortgage Brokers, Banks & Credit Unions, Real Estate, Financial Services, Home Services|Charlotte|3|2.5
XZ3mhYC1L-0wK8N725I3Ig|Roxbury|Nightlife, Bars, Dance Clubs|Charlotte|52|3.5
aKzNK6aaOrlL688lkXrXNA|Immaculate Mic's|Home Cleaning, Automotive, Auto Detailing, Home Services, Car Wash|Concord|3|5.0
fN7_8qF3vT_nR7fqeggYxw|Labcorp|Health & Medical, Diagnostic Services, Laboratory Testing|Charlotte|3|2.0
1INcoGMv9-Dk-S6Au0TMgQ|Lake Town Tavern|Nightlife, Food, Beer, Wine & Spirits, Burgers, Restaurants, American (Traditional), Chicken Wings, Arts & Entertainment, Music Venues, Pubs, Sports Bars, Bars|Cornelius|32|3.5
i2sdz9dGZ5MIKP5rWjOwDA|Charlotte Russe|Shopping, Women's Clothing, Fashion, Accessories|Charlotte|3|2.0
5_F4_jx2GT_jWVQWATc9DQ|Carolina TableTop Games|Bars, Shopping, Tabletop Games, Pubs, Nightlife, Hobby Shops|Pineville|6|4.5
4gFV5YJs3TlUx7StVveyHw|Rise Up Garage Doors|Garage Door Services, Home Services, Local Services|Mint Hill|3|5.0
tdo6JvAKwmMAKU8T5jfORw|Fidelli Kitchen|Bars, Nightlife, Italian, Wine Bars, Restaurants|Charlotte|84|3.5
M4pdWg-PKwhw3sGISTh9jA|Anthony's Custom Jewelry|Local Services, Jewelry Repair, Shopping, Jewelry|Wesley Chapel|5|4.0
XZGzFM0iUQ8eYf_ohaQE-g|Abbey Rose Floral Artistry|Florists, Shopping, Floral Designers, Flowers & Gifts, Event Planning & Services|Mint Hill|6|4.0
q8rklp9FHJaCFVJw-pdU4g|Advanced Appliance Service|Local Services, Appliances & Repair|Gastonia|24|3.5
IOpssLQ_3v34Q-BV9J3mJg|Run For Your Life - Midtown|Sporting Goods, Shopping, Fashion, Sports Wear, Shoe Stores|Charlotte|12|4.5
Xbd_sL81qS3eMqISjHrW4g|Enterprise Rent-A-Car|Car Rental, Hotels & Travel|Charlotte|6|4.5
WgzVzQtNVKP4l7jC--YFoA|Charlotte Vitamins and Health|Vitamins & Supplements, Health Markets, Food, Specialty Food, Shopping, Health & Medical|Charlotte|15|3.5
_iTsyRdHmwDKT2pQLW3LaA|Weddington Chiropractic Wellness Center - Blakeney|Acupuncture, Naturopathic/Holistic, Massage Therapy, Doctors, Health & Medical, Chiropractors|Charlotte|3|5.0
pCb0jYxksLR562vV7As1bQ|Chris' Deli|Delis, Sandwiches, Restaurants, Salad|Charlotte|69|4.5
pOoTOFxOh3UH03par0xEBg|SoCal Taco Stand|Food Trucks, Mexican, Restaurants, Food|Charlotte|17|4.0
n-BoGXG2NItNbr_PMtIRBg|Amalfi's Pasta 'n' Pizza|Italian, Restaurants, Event Planning & Services, Pizza, Caterers|Charlotte|81|3.5
Us0qEMNpCCecvUwwt6-9OA|Saint Mark Catholic Church|Churches, Religious Organizations|Huntersville|5|2.5
HImkDn27uiGI3IGDf-uvuQ|Biddy E C Tree Service|Tree Services, Home Services|Charlotte|3|5.0
S7JAMTags6lWb2Q3Nd2IKA|Treehouse Bourbon & BBQ|Restaurants, Barbeque, Bars, Nightlife, Whiskey Bars|Charlotte|4|4.0
tgB4e09PdFwkMQpP29hZDA|Viva Nails & Spa|Nail Salons, Beauty & Spas|Concord|81|3.0
S51hd1jI1SK7VCtOPkVN2Q|Hair Premier Barber and Beauty Salon|Hair Salons, Beauty & Spas, Blow Dry/Out Services, Hair Stylists, Barbers|Huntersville|3|3.5
65EnhX7le4npj38YJ8WBcA|Discount Tire|Auto Parts & Supplies, Tires, Automotive, Wheel & Rim Repair|CONCORD|17|4.0
tjAeaGdxf7I4xN9M7wGJNQ|Pure Pizza|Vegetarian, Gluten-Free, Food, Restaurants, Pizza, Farmers Market|Charlotte|259|4.0
x2ICPrIKgRcLFMsxsZUVFQ|Styling Iconz Beauty Lounge|Hair Salons, Hair Extensions, Makeup Artists, Beauty & Spas|Charlotte|4|3.0
bVqx58OBEqqgMJvaQMyZJQ|SunTrust Bank|Financial Services, Banks & Credit Unions|Charlotte|3|4.5
iAtCgs1XXPeHVrftHOv1dQ|On the Green Deli & Catering|Event Planning & Services, Caterers|Charlotte|11|3.5
S08GmSYtx197Nw9oTr3dLA|Carolinas Vision Group|Shopping, Optometrists, Eyewear & Opticians, Health & Medical, Laser Eye Surgery/Lasik|Charlotte|4|5.0
9Zhiktm7_LYN_uxaT9XEhg|The Wok|Restaurants, Chinese|Charlotte|46|3.5
NaRKGK9mId9SsOfToYHYHQ|Jo-Ann Fabrics and Crafts|Hobby Shops, Art Supplies, Arts & Crafts, Fabric Stores, Home Decor, Home & Garden, Shopping|Charlotte|28|2.5
8NjovVklpeV2tXzUnpduGQ|TJ Maxx|Shopping, Women's Clothing, Fashion, Department Stores, Jewelry, Accessories|Gastonia|7|3.5
sHIG0hjQHoxal9a1zwSinw|Abugida Ethiopian Cafe & Restaurant|Ethiopian, Restaurants|Charlotte|98|5.0
S4MRcfcWrXXH_UwCaKEhww|Hight Veterinary Hospital|Pets, Pet Boarding, Veterinarians, Pet Groomers, Pet Services, Pet Sitting|Charlotte|7|3.0
9p80iZvVnZdw9U5wtDyp4Q|Honey Baked Ham Company|Sandwiches, Food, Meat Shops, Restaurants, Event Planning & Services, Delis, Cafes, Caterers, Specialty Food|Charlotte|13|3.5
opNt5-A6PkpCgYCwSAaksA|Jack  F Scheuer III, MD|Cosmetic Surgeons, Doctors, Health & Medical, Surgeons, Plastic Surgeons|Charlotte|3|5.0
cOryfUm8e2FDCCMRtonB3w|Lake Norman Martinizing Dry Cleaning|Dry Cleaning & Laundry, Dry Cleaning, Laundry Services, Local Services|Huntersville|12|2.0
AzejCvRnEFaaBxg7x46eHA|The Little Gym - Ballantyne|Party & Event Planning, Gymnastics, Active Life, Event Planning & Services, Kids Activities|Charlotte|3|4.5
BpW65jN4yscndnTsdyzoHQ|Roots Catering|Caterers, Event Planning & Services, Restaurants, Food, Food Stands, Arts & Crafts, Shopping, Cooking Classes, Food Trucks|Charlotte|36|4.0
mfVrZNl4HHc8sxTl8rjztg|Alpha Mill Apartments|Apartments, Home Services, Real Estate|Charlotte|22|3.5
cZ86R4KIvSuTZiC5U4mhFg|Goody Woody's|Food Stands, Restaurants, Food, Street Vendors|Charlotte|6|4.0
yIxP32hWfZm5gyYUUh2WBA|Bonterra Restaurant & Wine Room|American (New), Wine Bars, Restaurants, Bars, Seafood, Nightlife|Charlotte|139|3.5
YJ-CTZyUtQ6anJ_44jygKQ|The Blue Chameleon|Jewelry, Shopping, Antiques|Matthews|3|4.5
ZCXjNG1EBFiKKMtR9DOTGg|Thai House - University|Seafood, Bars, Nightlife, Restaurants, Thai|Charlotte|314|4.0
xFSCaBlcnDXSGFPUtYtuXA|Fuel Pizza|Restaurants, Chicken Wings, Sandwiches, Pizza|Charlotte|74|2.5
l_8oJcHtIitNtwyeW3DmyA|Visionworks|Optometrists, Health & Medical, Eyewear & Opticians, Shopping|Charlotte|12|3.0
iyFCxKjE596XZHXmWIOa4g|Charlotte Golf Links|Golf, Active Life|Matthews|5|3.0
4OlXqS0Th9Rphs-3JgVZJA|Burlington Coat Factory|Men's Clothing, Fashion, Shopping, Women's Clothing|Charlotte|10|3.0
HHj26nP_9Xs0_YSVCtWZEA|Selwyn Cleaners & Laundry|Laundry Services, Local Services, Dry Cleaning & Laundry|Charlotte|4|2.0
Y5-Zo6RaSoxgI8ABi7-yvw|Watson Installation|Flooring, Home Services|Indian Trail|6|3.0
c1qs4LjaRGKKi4_uu8VQ5Q|Four Seasons Property Management|Real Estate, Property Management, Home Services|Charlotte|3|1.0
hmlExSdBNAXboP5jTANx9w|PetSmart|Pets, Pet Stores, Pet Groomers, Pet Services, Pet Training|Wesley Chapel|3|2.5
-FrNp2XC5AN7J57ozQ2dLw|Piper Glen Animal Hospital|Pet Groomers, Veterinarians, Pet Sitting, Pets, Pet Services|Charlotte|17|4.5
UgPdanBPEQyoYUv1MGF6dQ|Firestone Complete Auto Care|Tires, Auto Parts & Supplies, Automotive, Oil Change Stations, Auto Repair|Charlotte|16|2.0
KEGLWeFAWXvo0W2LnujhtQ|Lang Van Vietnamese|Vietnamese, Restaurants|Charlotte|345|4.5
8fB3OodPzYuagvnEWzULeA|Hungry Howie's Pizza|Restaurants, Pizza|Charlotte|15|2.5
CKNCkp6idxFd0KY18iGv5Q|Second Helping|Soul Food, American (Traditional), Comfort Food, Restaurants|Charlotte|15|4.5
D-RQsQjEVI_w-KC7iDJd5Q|Cuisine Malaya|Asian Fusion, Restaurants, Vegetarian, Malaysian, Sushi Bars|Charlotte|158|4.0
